id_stacji,stacja,rzeka,województwo,stan_wody,stan_wody_data_pomiaru,temperatura_wody,temperatura_wody_data_pomiaru,zjawisko_lodowe,zjawisko_lodowe_data_pomiaru,zjawisko_zarastania,zjawisko_zarastania_data_pomiaru
149210160,Sieniawa,Wisłok,podkarpackie,145,"2017-11-25 13:10:00",,,,,,
150180070,Lenartowice,Kłodnica,opolskie,131,"2017-11-25 13:10:00",,,,,0,"2017-10-30 10:00:00"
151150100,Nowogrodziec,Kwisa,dolnośląskie,229,"2017-11-25 13:10:00",,,,,,
150210020,Szczucin,Wisła,małopolskie,214,"2017-11-25 13:10:00",6.1,"2017-11-25 13:10:00",,,0,"2017-11-15 10:00:00"
151160100,Piątnica,Kaczawa,dolnośląskie,160,"2017-11-25 13:10:00",7.4,"2017-11-25 13:10:00",,,0,"2017-10-24 08:00:00"
152200120,Borkowo,Wkra,mazowieckie,218,"2017-11-25 13:10:00",,,0,"2017-11-12 06:00:00",200,"2017-11-07 09:00:00"
150220040,Sarzyna,Trzebośnica,podkarpackie,154,"2017-11-25 13:10:00",,,0,"2017-11-22 15:09:00",,
149200120,Niedzica,Niedziczanka,małopolskie,133,"2017-11-25 13:10:00",,,0,"2017-11-15 11:00:00",,
150220090,Leżachów,San,podkarpackie,228,"2017-11-25 13:10:00",,,0,"2017-11-23 10:01:00",,
153150010,Stargard,Ina,zachodniopomorskie,200,"2017-11-25 13:10:00",,,,,0,"2017-10-17 10:03:00"
149200030,"Nowy Targ","Czarny Dunajec",małopolskie,130,"2017-11-25 13:10:00",,,,,,
149220050,Zagórz,Osława,podkarpackie,134,"2017-11-25 13:10:00",,,0,"2017-11-03 08:05:00",0,"2017-10-27 11:03:00"
150180210,Niwki,Liswarta,śląskie,147,"2017-11-25 13:10:00",,,,,121,"2017-09-07 08:00:00"
149180300,Olza,Odra,śląskie,151,"2017-11-25 13:10:00",,,0,"2017-11-06 11:00:00",0,"2017-11-06 11:00:00"
150160070,Lubachów,Bystrzyca,dolnośląskie,116,"2017-11-25 13:10:00",6.52,"2017-11-25 13:10:00",,,0,"2017-09-13 10:00:00"
149190020,Kamesznica,Bystra,śląskie,147,"2017-11-25 13:00:00",,,,,,
150170200,Domaradz,Bogacica,opolskie,148,"2017-11-25 13:10:00",,,,,20,"2017-09-13 09:00:00"
152160110,Kowanówko,Wełna,wielkopolskie,176,"2017-11-25 13:10:00",6.5,"2017-11-25 13:10:00",,,,
150200120,Morawica,"Czarna Nida",świętokrzyskie,166,"2017-11-25 13:00:00",,,,,,
